PID,FIRST,LAST,SEASON,GAME,YEAR,MONTH,DAY,AGE,TEAM,HOME/AWAY,OPP,RESULT,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-
ackeral01,Alex,Acker,2008-2009,1,2008,11,03,25.7857631759,DET,AWAY,CHA,18,FALSE,1.93333333333,1,1,1.000,0,0,None,0,0,None,0,1,1,0,0,0,0,0,2,2.0,+3
ackeral01,Alex,Acker,2008-2009,2,2008,11,05,25.7912388775,DET,AWAY,TOR,7,FALSE,5.0,0,1,.000,0,1,.000,0,0,None,0,0,0,1,0,0,0,0,0,0.0,-1
ackeral01,Alex,Acker,2008-2009,3,2008,11,16,25.8213552361,DET,AWAY,PHO,-18,FALSE,3.1,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,1,0,0,0,1,0.9,+5
ackeral01,Alex,Acker,2008-2009,4,2008,11,20,25.8323066393,DET,AWAY,BOS,-18,FALSE,3.18333333333,1,3,.333,0,1,.000,0,0,None,0,0,0,0,1,0,0,0,2,1.3,+2
ackeral01,Alex,Acker,2008-2009,5,2008,11,23,25.8405201916,DET,HOME,MIN,-26,FALSE,2.0,1,2,.500,0,0,None,0,0,None,0,1,1,0,0,0,0,0,2,1.3,+2
ackeral01,Alex,Acker,2008-2009,6,2008,12,31,25.9445585216,DET,HOME,NJN,8,FALSE,0.0333333333333,0,0,None,0,0,None,0,0,None,0,0,0,0,0,0,0,0,0,0.0,-1
ackeral01,Alex,Acker,2008-2009,7,2009,01,10,25.9719370294,DET,AWAY,UTA,-17,FALSE,5.21666666667,1,3,.333,0,1,.000,0,0,None,0,0,0,0,0,1,0,0,2,1.0,+8
ackeral01,Alex,Acker,2008-2009,8,2009,02,17,26.0739219713,LAC,AWAY,PHO,-40,FALSE,12.0,3,6,.500,2,2,1.000,2,2,1.000,1,1,2,0,0,0,2,0,10,6.0,+6
ackeral01,Alex,Acker,2008-2009,9,2009,02,22,26.0876112252,LAC,AWAY,POR,-29,FALSE,12.7666666667,1,6,.167,0,2,.000,0,2,.000,2,0,2,0,1,0,0,0,2,-0.2,-8
ackeral01,Alex,Acker,2008-2009,10,2009,02,27,26.1013004791,LAC,AWAY,SAC,-12,FALSE,4.3,2,4,.500,1,1,1.000,0,0,None,0,0,0,0,0,0,0,0,5,3.0,+9
ackeral01,Alex,Acker,2008-2009,11,2009,02,28,26.1040383299,LAC,HOME,CHA,-5,FALSE,13.2666666667,2,3,.667,1,2,.500,0,0,None,0,2,2,1,0,0,1,2,5,3.2,-5
ackeral01,Alex,Acker,2008-2009,12,2009,03,02,26.1095140315,LAC,HOME,SAS,-28,FALSE,10.0666666667,0,4,.000,0,1,.000,0,0,None,1,1,2,0,0,0,1,2,0,-3.6,-16
ackeral01,Alex,Acker,2008-2009,13,2009,03,04,26.1149897331,LAC,HOME,MEM,-23,FALSE,1.6,1,1,1.000,0,0,None,0,0,None,0,0,0,0,0,0,0,0,2,1.7,-6
ackeral01,Alex,Acker,2008-2009,14,2009,03,07,26.1232032854,LAC,HOME,IND,-1,FALSE,11.95,0,2,.000,0,2,.000,0,0,None,0,0,0,1,0,0,0,2,0,-1.5,-6
ackeral01,Alex,Acker,2008-2009,15,2009,03,14,26.1423682409,LAC,AWAY,DEN,-13,FALSE,1.25,0,0,None,0,0,None,0,0,None,0,0,0,0,0,0,0,0,0,0.0,+2
